STT,Diễn viên,Link_Wikipedia,Họ và tên,Ngày sinh,Quốc tịch,Nghề nghiệp,Năm hoạt động,Link ảnh
141,hứa vĩ văn,https://vi.wikipedia.org/wiki/H%E1%BB%A9a_V%C4%A9_V%C4%83n,Hứa Vĩ Văn,"25 tháng 12, 1979 (45 tuổi)",Việt Nam,Diễn viênNgười mẫuCa sĩ,2000 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:HuaViVan1979.jpg
142,hữu khang,,Huỳnh Hữu Khang,2009,Việt Nam,Diễn viên nhí ,2009 - nay,
143,hữu tiến,,Hữu Tiến,1970,Việt Nam,"Diễn viên, Đạo diễn, Giảng viên",1990s - nay ,
144,hữu vi,,Nguyễn Hữu Vi,"10 tháng 3, 1992",Việt Nam,"Diễn viên, Người mẫu, MC",2008 - nay,
145,isaac,https://vi.wikipedia.org/wiki/Isaac,Phạm Lưu Tuấn Tài,13 tháng 6 năm 1988.,Việt Nam,"Ca sĩ, diễn viên",2010-nay,https://images2.thanhnien.vn/528068263637045248/2024/8/31/isaactretrungdientrai14-17250882439122077648606.png
146,johnny trí nguyễn,https://vi.wikipedia.org/wiki/Johnny_Tr%C3%AD_Nguy%E1%BB%85n,Nguyễn Chánh Minh Trí," 16 tháng 1, 1974",Hoa Kỳ; Việt Nam,"Diễn viên, Võ sư",1994–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Johhnny_Tri_Nguyen.jpg
147,juliet bảo ngọc,,Juliet Bảo Ngọc Doling,2002,Việt Nam/Úc,Diễn viên,2022 - nay,
148,jun vũ,https://vi.wikipedia.org/wiki/Jun_V%C5%A9,Vũ Phương Anh,"4 tháng 6, 1995 (30 tuổi)",Việt Nam,Diễn viên Người dẫn chương trình Người mẫu,2014–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Jun_V%C5%A9_in_Ch%E1%BB%8Dn_%C4%90%C3%A2u_Cho_%C4%90%C3%BAng_(2).png
149,jung ll-woo,,Jung Il-woo,"9 tháng 9, 1987",Hàn Quốc,Diễn viên,2006 - nay,
150,kaity nguyễn,https://vi.wikipedia.org/wiki/Kaity_Nguy%E1%BB%85n,Nguyễn Ngọc Bình An," 9 tháng 4, 1999 (26 tuổi)",Hoa Kỳ; Việt Nam[1],Diễn viênNgười mẫu,2017–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:KAITY_NGUY%E1%BB%84N_2025.jpg
151,karen nguyễn,,Nguyễn Kiều Diễm,4/12/1993,Việt Nam,"diễn viên, người mẫu tự do ",,
152,karik,https://vi.wikipedia.org/wiki/Karik,Phạm Hoàng Khoa," 12 tháng 4, 1989",Việt Nam,"Rapper, Nhạc sĩ, Diễn viên",2008–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:KARIK_Rapper.jpg
153,katleen phan võ,,Katleen Phan Võ,1997,Việt Nam/Canada,Diễn viên,2019 - nay,
154,kay trần,https://vi.wikipedia.org/wiki/Kay_Tr%E1%BA%A7n,Trần Anh Khoa,"6 tháng 5, 1994",Việt Nam,"Ca sĩ, Nhạc sĩ, Rapper, Vũ công, Diễn viên",,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Kay_Tr%E1%BA%A7n_ATVNCG2024_(cropped).jpg
155,Khazsak,,,,,,,
156,khánh hiền,,Bùi Thị Ngọc Hiền,"18 tháng 5, 1991 (34 tuổi)",Việt Nam,Diễn viênNgười mẫuNhà hoạt động từ thiện,2010 – nay,
157,khánh ly,,,,Việt Nam,Diễn viên, 2025 - nay ,
158,khánh vân,,Đỗ Khánh Vân,"30 tháng 9, 1995",Việt Nam,Diễn viên,,
159,khương lê,,,,Việt Nam,Diễn viên,,
160,khương ngọc,https://vi.wikipedia.org/wiki/Kh%C6%B0%C6%A1ng_Ng%E1%BB%8Dc,Huỳnh Quang Ngọc,"26 tháng 7, 1984",Việt Nam,"Diễn viên, Người dẫn chương trình, Nhạc sĩ, Ca sĩ, Nhà làm phim",2003–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:KHUONG_NGOC_2021.jpg
161,khả ngân,https://vi.wikipedia.org/wiki/Kh%E1%BA%A3_Ng%C3%A2n,Trần Thị Kim Ngân,"31 tháng 7, 1997 (28 tuổi)",Việt Nam,Diễn viênNgười mẫu,2012–nay[2],https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Kh%E1%BA%A3_Ng%C3%A2n.png
162,khả như,https://vi.wikipedia.org/wiki/Kh%E1%BA%A3_Nh%C6%B0,Trần Khả Như," 16 tháng 3, 1987 (38 tuổi)",Việt Nam,Diễn viênNgười dẫn chương trình,2008 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Kh%E1%BA%A3_Nh%C6%B0.png
163,kiều diễm,,,,Việt Nam,Diễn viên,,
164,Kim Hải,,,,,,,
165,Kim Phương,,,,,,,
166,kim tử long,https://vi.wikipedia.org/wiki/Kim_T%E1%BB%AD_Long,Hoàng Kim Long," 17 tháng 10, 1966 ",Việt Nam,Diễn viênNghệ sĩ cải lương,1990 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:Kim_T%E1%BB%AD_Long.jpg
167,kiến an,https://vi.wikipedia.org/wiki/Hu%E1%BB%B3nh_Ki%E1%BA%BFn_An,Huỳnh Kiến An,"4 tháng 10, 1959",Việt Nam,Diễn viên,2004 - nay,
168,kiều anh,https://vi.wikipedia.org/wiki/Ki%E1%BB%81u_Anh,Nguyễn Thị Kiều Anh,"16 tháng 12, 1981",Việt Nam,Nghệ sĩ múaDiễn viên truyền hìnhDiễn viên điện ảnhĐạo diễn sân khấuDẫn chương trình,,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:KieuAnh1981.png
169,kiều minh tuấn,https://vi.wikipedia.org/wiki/Ki%E1%BB%81u_Minh_Tu%E1%BA%A5n,Kiều Minh Tuấn,"26 tháng 2, 1988 (37 tuổi)",Việt Nam,Diễn viên,2010 – nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:KIEU_MINH_TUAN.jpg
170,kiều oanh,https://vi.wikipedia.org/wiki/Ki%E1%BB%81u_Oanh,Nguyễn Kiều Oanh," 20 tháng 10, 1974",Việt Nam,Diễn viên hài; Diễn viên điện ảnh; Diễn viên kịch; Nghệ sĩ cải lương (trước kia),1995 - nay,
171,kiều trinh,,Nguyễn Kiều Trinh,"19 tháng 4, 1977",Việt Nam,"Diễn viên, Nhà thiết kế",2000s - nay,
172,kỳ duyên,,Nguyễn Cao Kỳ Duyên,"13 tháng 11, 1996",Việt Nam,"Người mẫu, Diễn viên, MC",2014 - nay,
173,la thành,https://vi.wikipedia.org/wiki/La_Th%C3%A0nh,La Tấn Thành,6/11/1987,Việt Nam,,,
174,lan phương,,Nguyễn Lan Phương,"5 tháng 3, 1983",Việt Nam,"Diễn viên, MC",2003 - nay,
175,lan thy,,Phạm Nguyễn Lan Thy,1998,Việt Nam,"Diễn viên, Người mẫu", 2020 - nay,
176,lee kwang soo,https://vi.wikipedia.org/wiki/Lee_Kwang-soo,Lee Kwang Soo,"14 tháng 7, 1985 ",Hàn Quốc,"Diễn viên, Nghệ sĩ giải trí, Người mẫu",2007–nay,https://vi.wikipedia.org/wiki/T%E1%BA%ADp_tin:211126_Lee_Kwang-soo.jpg
177,long hoàng,,Tạ Hoàng Long,2003,Việt Nam,"Diễn viên, Hot teen, Ca sĩ",2017 - nay,
178,long đẹp trai,,Vũ Văn Long ,1976,Việt Nam,"Diễn viên hài, Điện ảnh",2010s - nay,
179,lâm hoàng oanh,,,,Việt Nam,Diễn viên,,
180,lâm nguyễn,,,,Việt Nam,Diễn viên,,
181,lâm thanh mỹ,,Lâm Thanh Mỹ,2005,Việt Nam,Diễn viên (diễn viên nhí),2008 - nay,
182,lâm thanh nhã,,Lâm Thanh Nhã,,Việt Nam,Diễn viên,2020s - nay,
