Tên phim,Đạo diễn,Diễn viên,Thể loại,Chính thức khởi chiếu
Lật mặt 8: Vòng tay nắng,Lý Hải,"Long Đẹp Trai, Tín Nguyễn, Bảo Ngọc, NSƯT Kim Phương,Tuyết Thu,NSƯT Hữu Châu,Ngân Quỳnh,Chiều Xuân,Kiều Trinh, Ngọc Tưởng, Quách Ngọc Tuyên,Tiết Cương,Đoàn Thế Vinh, Hồng Thu, Tín Nguyễn, Yuno BigBoi, Anh Tú Wilson, Bảo Ngọc, Rio Hạo Nhiên, Hồ Đông Quan, Cherry Hải My, Lê Tuấn Khang...",Chính kịch,30 tháng 04 năm 2025
Thám tử Kiên: Kỳ án không đầu,Victor Vũ,"Quốc Huy,Đinh Ngọc Diệp,Đoàn Minh Anh, Quốc Anh, Anh Phạm, NSND Mỹ Uyên, NSƯT Xuân Trang, Quốc Cường, Quốc Tân, Sỹ Toàn, Võ Điền Gia Huy...",Kinh dị,30 tháng 04 năm 2025
Năm mười,Tấn Hoàng Thông,"Huỳnh Tú Uyên, Trần Phong, Hoa Thảo, Trần Vân Anh, Nam Nam, Vương Thanh Tùng, Hồ Quang...",Kinh dị,30 Tháng 5 năm 2025
Dưới đáy hồ,Trần Hữu Tấn,"Kay Trần,Thanh Duy,Karen Nguyễn, Nguyễn Hữu Tiến, Nguyên Thảo,Mạc Trung Kiên,Lâm Hoàng Oanh, Đỗ Tuyển, Lâm Nguyễn, Quang Sơn...",Kinh dị,6 Tháng 6 năm 2025
Út Lan: Oán linh giữ của,Trần Trọng Dần,"Mạc Văn Khoa,Quốc Trường,Mai Cát Vi, Phương Thanh,NSND Đào Bá Sơn,Đức Khuê...",Kinh dị,20 Tháng 6 năm 2025
Ma không đầu,Bùi Văn Hải,"Tiến Luật,Ngô Kiến Huy, NSND Hồng Vân,NSƯT Hữu Châu,Đại Nghĩa,Thanh Hương, Hoàng Mèo,Phi Phụng, Phan Vũ...",Kinh dị,27 Tháng 6 năm 2025
Điều ước cuối cùng,Đoàn Sĩ Nguyên,"Lý Hạo Mạnh Quỳnh,Hoàng Hà,Avin Lu, Tiến Luật,Đinh Y Nhung,Quốc Cường,Kiều Anh...",,4 Tháng 7 năm 2025
"Đợi gì, mơ đi!",Lâm Minh Khôi,"NSND Thanh Nam,A Tới (VSlifff), Huỳnh Mai Cát Tiên, Trần Kim Hải, Bích Hằng, Phạm Nhật Linh, Nguyễn Sĩ Hậu, Trần Phong...",Hài/Tâm lý,11 tháng 7 năm 2025
Đàn cá gỗ,Nguyễn Phạm Thành Đạt,"Nguyễn Quốc Hùng, Nguyễn Minh Hà, Lãnh Thanh, Sơn X, Mai Xuân Thành, Hà Thu Nguyệt, Minh Khang, Nguyễn Đức Anh, Giàng A Phá, Lê Chí Anh, Minh Đức, Vũ Trung Đức...",Lãng mãn/Chính kịch,15 Tháng 7 năm 2025
Mang mẹ đi bỏ,Mo Hong-jin,"Hồng Đào,Tuấn Trần,Jung ll-woo, Juliet Bảo Ngọc, Quốc Khánh, Hải Triều,Lâm Vỹ Dạ,Vinh Râu...",Tâm lý/Chính kịch,1 Tháng 8 năm 2025
Chốt đơn!,"Namcito,Bảo Nhân","Hồng Đào,Quyền Linh,Lê Lộc,Hồng Vân,Hoàng Linh...",Hài/Chính kịch,8 Tháng 8 năm 2025
Mưa đỏ,Đặng Thái Huyền,"Thân Thúy Hà,Hứa Vĩ Văn,Trọng Hải,Trần Lực,Hòa Minzy,Thúy Hà,Đỗ Nhật Hoàng, Phương Nam, Lâm Thanh Nhã, Nguyễn Thanh Vân,  Đình Khang, Nguyễn Hùng, Steven Nguyễn, Hoàng Long, Hạ Anh...",Lịch sử,22 Tháng 8 năm 2025
Làm giàu với ma: Cuộc chiến hột xoàn,Trung Lùn,"Tuấn Trần,Diệp Bảo Ngọc, Ngọc Xuân,Thanh Thức,Võ Tấn Phát,Hứa Minh Đạt,NSƯT Hoài Linh...",Chính kịch,29 Tháng 8 năm 2025
Cô dâu ma,Lee Thongkham,"Jun Vũ,Rima Thanh Vy, JJ Krissanapoom, Công Dương...",Kinh dị,5 tháng 9 năm 2025
Tiệm cầm đồ: Có chơi có chịu,Hoàng Anh Duy,"Cát Phượng,Ngọc Ánh,Hoàng Anh Duy,NSƯT Mỹ Duyên,Trương Minh Cường, Lộ Lộ, Tiểu Bảo Quốc,Hiếu Hiền,Lê Quốc Nam...",,12 tháng 9 năm 2025
Khế ước bán dâu,Lê Văn Kiệt,"Lâm Thanh Mỹ,NSND Trung Anh,Lãnh Thanh, Hữu Vi, Trà My, Tuyết Anh...",Kinh dị,12 tháng 9 năm 2025
Tử chiến trên không,Hàm Trần,"Thái Hòa,Kaity Nguyễn,Thanh Sơn,Trần Ngọc Vàng, Xuân Phúc, Võ Điền Gia Huy...",Tâm lý/Hành động,19 tháng 9 năm 2025
Đồi hành xác: Tà thuyết đen trở lại,Lương Đình Dũng,"Nguyễn Xuân Thắng, Yu Dương,Hứa Vĩ Văn,Bé Quyên...",Kinh dị,26 tháng 9 năm 2025
Bịt mắt bắt nai,Hoàng Thơ,"Bích Ngọc, Lương Gia Huy, Thái Trà My, Dũng Bino",Lãng mạn/Chính kịch,26 tháng 9 năm 2025
Chị ngã em nâng,Vũ Thành Vinh,"Lê Khánh,Thuận Nguyễn,Quốc Trường,Uyển Ân,Hoài Linh,Tạ Minh Tâm,Đinh Y Nhung,Thanh Thức,Tạ Lâm, Phương Lan, Quang Sơn...",Tâm lý/Tình cảm,3 tháng 10 năm 2025
Tay anh giữ một vì sao,Kim Sung Hoon,"Lee Kwang Soo,Hoàng Hà,Cù Thị Trà,Duy Khánh...",Hài/Tình cảm,3 tháng 10 năm 2025
Cục vàng của ngoại,Khương Ngọc,"Việt Hương,Hồng Đào,Lê Khánh,Tuấn Khải,NSƯT Hữu Châu,Lâm Thanh Mỹ,Băng Di...",Chính kịch,17 tháng 10 năm 2025
Cải mả,Thắng Vũ,"Thiên An, Rima Thanh Vy, Lâm Thanh Nhã, Avin Lu, Kim Hải...",Tâm linh,24 tháng 10 năm 2025
Nhà ma xó,Trương Dũng,"Thanh Hằng,Vân Trang,Quang Tuấn,Huỳnh Đông,Hoàng Kim Ngọc, Lan Thy, Lâm Thanh Nhã...",Kinh dị,24 tháng 10 năm 2025
Phá đám: Sinh nhật mẹ,Nguyễn Thanh Bình,"Tín Nguyễn,Hồng Ánh, Trần Kim Hải, Hoàng Phi, Thành Hội, Samuel An, Ái Như...",Chính kịch,31 tháng 10 năm 2025
Phòng 4.13,Nguyễn Khắc Huy,"Đoàn Thế Vinh,Trần Nghĩa,Huỳnh Phương,Mạc Văn Khoa,NSND Hồng Vân,NSƯT Hữu Trọng, Quốc Cường, Hoàng Mèo, Mai Sơn Lâm, Ngọc Tưởng, Hà Linh...",Tâm lý/Kinh dị,Tháng 10 năm 2025
Trái tim què quặt,Phạm Minh Tiến,"Quách Ngọc Ngoan,Xuân Văn, Việt Hưng, Nhật Linh...",Lãng mạn/Kinh dị,7 tháng 11 năm 2025
Truy tìm Long Diên Hương,Dương Minh Chiến,"Quang Tuấn,Ma Ran Đô, Nguyên Thảo...",Hành động/Phiêu lưu,14 Tháng 11 năm 2025
Nhà hai chủ,"Trần Duy Linh, Phạm Trung Hiếu","Trâm Anh, Kim Hải, Tạ Lâm, Kim Phương, Mộc Trà...",Kinh dị,5 tháng 12 năm 2025
Thiên đường máu,Hoàng Tuấn Cường,"Quang Tuấn,Hoài Lâm,Quách Ngọc Ngoan,Sỹ Toàn,Thanh Hương,NSƯT Hạnh Thúy,Đình Hiếu, Hoàng Trinh...",Kinh dị,31 Tháng 12 năm 2025
Heo năm móng,Lưu Thành Luân,Võ Tấn Phát...,Kinh dị,2025
Thai chiêu tài,Trần Nhân Kiên,Tạ Lâm…,Kinh dị,2025
Ba kể con nghe,Đỗ Quốc Trung,"Kiều Minh Tuấn,Kiều Oanh,Quốc Khánh, Mai Cát Vi, Huỳnh Hạo Khang...",Chính kịch,2025
Ai thương ai mến,Thu Trang,TBA...,,2025
Thư tình gửi ma sơ,Lê Thiện Viễn,Thanh Hằng...,Tình cảm,2025
Hoàng tử quỷ,Trần Hữu Tấn,,Kinh dị/Lịch sử,
Thỏ ơi,Trấn Thành,,Tâm lý/Chính kịch,17 Tháng 2 năm 2026 (Mùng 1 tết Nguyên đán)
Báu vật trời cho,Lê Thanh Sơn,"Trung Dân, Khương Lê,Phương Anh Đào,Tuấn Trần,Võ Tấn Phát, Ma Ran Đô...",Hài/Chính kịch,17 Tháng 2 năm 2026 (Mùng 1 tết Nguyên đán)
Mùi phở,Xuân Hinh,"Xuân Hinh,Trần Bảo Nam,Thanh Hương,Thu Trang...",,17 Tháng 2 năm 2026 (Mùng 1 tết Nguyên đán)
Quỷ nhập tràng 2,,TBA...,Kinh dị,6 Tháng 3 năm 2026
Song Hỷ Lâm Nguy,,"Miss Thy,Dustin Nguyễn,Hiếu Hiền,Đinh Y Nhung,Jun Vũ...",,27 Tháng 3 năm 2026
Giải cứu,Nhất Trung,TBA...,,24 Tháng 4 năm 2026
Hộ linh tráng sĩ Bí ẩn mộ Vua Đinh,Nguyễn Phan Quang Bình,"NSND Tự Long,Johnny Trí Nguyễn...",,26 Tháng 6 năm 2026
Trại buôn người,,"Quách Ngọc Ngoan,Khả Ngân,Thùy Anh,Quách Ngọc Tuyên, Sĩ Toàn, Long Đẹp Trai,NSƯT Tuyết Thu,Ngọc Tưởng, Á Hậu Minh Kiên...",,26 Tháng 6 năm 2026
Ma da 2,,TBA...,Kinh dị,2 tháng 9 năm 2026
Nhà mình thôi đi,Trần Đình Hiền,"NSND Hồng Vân,Huỳnh Uyển Ân,NSND Kim Xuân,Hoàng Sơn,",,31 tháng 12 năm 2026
Tấm: Hoàng cung dị truyện,Trần Hữu Tấn,"Rima Thanh Vy, Hải Nam...",Kinh dị/Cổ trang,6 Tháng 2 năm 2027 (Mùng 1 tết Nguyên đán)
Hào quang rực rỡ,"Nam Cito,Bảo Nhân",Đàm Vĩnh Hưng...,Tài liệu,
Số đỏ,Phan Gia Nhật Linh,MONO...,Chính kịch,
Bà chằng,Lê Huy Anh,Minh Hằng...,Kinh dị,
Đồi thông hai mộ,Nhất Trung,TBA,Tình cảm,
CoDe: Phản ứng,,TBA,Tâm lý,
Cô Sáu Bạc Liêu 2,,"Ngọc Xuân, Nguyễn Lâm Thảo Tâm...",,
Chrysalis Chiếc kén,Jordan Schulz,"NSƯT Kiều Trinh,Trương Ngọc Ánh,Tiến Phạm, Uy Nhân, Trần Thanh Tùng, Samuel An, Lan Thy,Phi Phụng,Hiếu Hiền,Trịnh Tú Trung, Hải Anh, Bảo Khương, Lê Anh Huy...",,
Con đường vô tận,Trần Bảo Sơn,"Trương Ngọc Ánh,Kiến An,Trần Bảo Sơn...",,
Em đẹp em có quyền,Hoàng Vũ,TBA...,,
Nhà Ma Yeong Deok,Nguyễn Hữu Hoàng,TBA...,,
